pid,majorcat,province,area,sex,age,a003,a004_10,a010,a014,a016,a018,a019,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d007_10,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,com_area,industry,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,work_timeB,commuting_time,나이,학점,성별,건강상태,결혼상태,대학지역,전공일치,본전공,재학중일자리경험,삶의만족도_개인,삶의만족도_관계,삶의만족도_소속집단,종사자수,업무만족도,교통수단,출퇴근시간
60249,2,1,서울,1,28.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2,3.5,2,5,5,5,5,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2018-08-01,2020-03-01,,19.0,0,19.0,1,0,3,3,4,4,4,1,1,1,1,1,1,1,5.0,40,1,2,1,1,1,1.0,6.0,2.0930232558,3,1,1,2,2,1,3,3,3,2.0,3,3,1,0,,28.416666667,2.0930232558,남자,건강하다,미혼,수도권,보통이다,문과,없다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,
60262,2,1,서울,2,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,30.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3.22,2,5,7,7,7,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-04-01,2019-10-01,,6.0,0,6.0,0,0,1,2,6,5,5,2,1,2,2,2,2,2,5.0,30,2,2,2,2,2,1.0,14.0,3.0,3,1,1,1,1,1,3,3,3,2.0,3,3,0,0,,25.0,3.0,여자,건강하다,미혼,수도권,맞지않다,문과,없다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,
60267,2,1,서울,1,28.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,40.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3,3.5,1,4,6,6,5,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2018-12-01,2020-07-01,,19.0,0,19.0,1,0,2,3,2,3,1,1,1,2,2,2,2,2,5.0,40,1,2,1,1,1,1.0,10.0,3.0,3,1,1,1,2,1,3,3,3,2.0,2,1,0,0,,28.916666667,3.0,남자,건강하다,미혼,수도권,맞지않다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,보통이다,,
60346,2,4,경남,1,28.666666667,2.0,6.0,1.0,15.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,35.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3,3.9,2,2,1,1,1,1,2019,0,1,2010-03-01,2018-08-31,2019-09-01,2016-07-01,,,38.0,,0,38.0,1,1,3,3,1,4,4,1,1,1,1,1,1,1,5.0,35,1,2,1,1,1,15.0,6.0,3.0,1,1,2,2,2,1,1,1,1,2.0,3,3,1,0,60.0,28.666666667,3.0,남자,건강하지않다,미혼,비수도권,보통이다,문과,없다,그렇다,그렇다,그렇다,1000명미만,그렇지않다,승용차,60.0
60505,2,2,강원,2,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,40.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3,3.6,1,5,6,6,6,1,2019,1,2,2013-03-01,2018-08-31,2019-09-01,,2019-09-01,2020-03-01,,6.0,0,6.0,0,0,1,2,3,2,2,1,1,1,2,1,2,3,5.0,40,1,2,1,1,1,1.0,13.0,3.0,3,1,1,1,1,1,3,3,3,2.0,1,1,0,0,,25.5,3.0,여자,건강하다,미혼,수도권,맞지않다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇다,,
60530,2,3,세종,2,26.666666667,2.0,7.0,1.0,15.0,2.0,0.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,60.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3,3.2,1,4,6,5,4,1,2019,0,1,2013-03-01,2018-08-31,2019-09-01,2017-03-01,,,30.0,,0,30.0,1,1,2,2,1,3,3,1,1,3,3,1,1,3,5.0,60,1,2,1,1,1,15.0,7.0,3.0,3,1,2,1,1,1,3,3,2,2.0,2,2,0,1,5.0,26.666666667,3.0,여자,건강하다,미혼,비수도권,맞지않다,문과,있다,그렇지않다,그렇지않다,보통이다,1000명미만,보통이다,승용차,5.0
60576,2,5,제주,1,32.583333333,2.0,15.0,9.0,16.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,40.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3,4.1,1,2,4,6,3,1,2019,0,1,2006-03-01,2019-02-28,2019-09-01,2017-08-01,,,25.0,,0,25.0,1,1,3,4,9,3,3,1,1,1,1,1,2,1,5.0,40,1,2,1,1,1,16.0,15.0,3.0,1,1,2,2,3,1,2,3,1,1.0,2,2,0,0,60.0,32.583333333,3.0,남자,건강하지않다,미혼,비수도권,보통이다,문과,있다,보통이다,그렇지않다,그렇다,1000명이상,보통이다,승용차,60.0
60577,2,5,제주,2,29.583333333,2.0,15.0,9.0,16.0,1.0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,40.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3,4.1,2,4,5,5,5,2,2019,0,1,2009-03-01,2018-08-31,2019-09-01,2015-09-01,,,48.0,,0,48.0,1,1,1,1,9,2,2,1,1,1,1,1,2,1,5.0,40,2,1,1,1,1,16.0,15.0,3.0,3,2,2,1,1,1,3,3,3,1.0,1,1,0,0,15.0,29.583333333,3.0,여자,건강하다,기혼,비수도권,맞지않다,문과,없다,그렇지않다,그렇지않다,그렇지않다,1000명이상,그렇다,도보,15.0
60586,2,1,서울,2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3,3.6,1,4,5,5,5,1,2019,1,2,2012-03-01,2018-08-31,2019-09-01,,2018-06-01,2020-06-01,,24.0,0,24.0,1,1,4,4,7,4,3,1,1,1,1,1,1,1,5.0,40,1,2,1,1,1,8.0,13.0,3.0,3,1,1,3,3,1,3,3,3,2.0,3,2,1,0,,27.0,3.0,여자,건강하다,미혼,수도권,잘맞다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,
60592,2,1,서울,2,27.75,2.0,15.0,9.0,1.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3,4.1,1,2,7,7,7,1,2019,0,1,2011-03-01,2018-08-31,2019-09-01,2015-01-01,,,56.0,,0,56.0,1,1,5,2,9,1,1,2,1,1,1,1,1,1,5.0,40,2,2,1,1,1,1.0,15.0,3.0,1,1,1,3,1,1,3,3,3,1.0,1,1,0,0,60.0,27.75,3.0,여자,건강하지않다,미혼,수도권,잘맞다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명이상,그렇다,전철/지하철,60.0
